2026-04-05 03:41:34.056 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:42.374 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:42.380 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:58.905 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:58.910 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:42:20.225 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:42:20.230 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:42:31.330 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:42:31.335 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:43:35.766 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:43:35.771 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
